category_name_texts,article_title_texts,article_title_links,headline,date,article_text
Law & Government,Does our Prime Minister get paid up to $4.5 million a year?,/factually/content/does-our-prime-minister-get-paid-up-to-r,"
                Does our Prime Minister get paid up to $4.5 million a year?
            ","
                    16 Sep 2018
                ","Several websites and social media pages have jumped on the issue of ministerial salaries in recent weeks.
Falsehoods:

The MR4 Minister’s annual salary of $1.1 million includes bonuses. If the minister doesn’t do well – and if the economy doesn’t do well – he may get well below $1.1 million.
 
 
"
Education & Employment,Are more foreigners taking away jobs of Singaporeans?,/factually/content/are-more-foreigners-taking-away-jobs-of-singaporeans,"
                Are more foreigners taking away jobs of Singaporeans?
            ","
                    28 Aug 2018
                ","A recent article by the States Times Review (STR) made several erroneous claims, following the latest release of employment figures[1] by the Ministry of Manpower (MOM).
MOM debunks the incorrect claims and clarifies the facts.
1. Are foreigners taking away jobs of Singaporeans?
STR claims:
MOM clarifies:
 2. Do the official unemployment figures omit the numbers of certain groups of people?
STR claims:
The unemployment figures excluded: 
MOM clarifies:
You are considered unemployed if you are:
This is regardless of demographic characteristics, including age, gender and marital status.
Hence, “housewives” and “retirees” who are looking for and available for work, as well as the long-term unemployed, are included in the unemployed figures.
Full-time national servicemen are not included because the nature of their NS obligation means they cannot be actively seeking work nor be available for work.  
 
3. Do the employment figures leave out data on income?
STR claims:
MOM clarifies:
4. Did the Government doctor the unemployment figures?
STR claims:
The compilation of unemployment statistics in Singapore adheres strictly to international standards set by:
    - International Labour Organisation (ILO)
    - International Monetary Fund (IMF)
IMF regularly monitors observance of the requirements and any discrepancy or non-adherence will be highlighted.
The IMF has never highlighted any doubts about the labour statistics released by Singapore.
This article is accurate as of August 2018.
 
 
 
[1] Labour Market Advance Release Second Quarter 2018
 
"
Health,Will the Government take back unused MediSave top-ups?,/factually/content/will-the-government-take-back-unused-medisave-top-ups,"
                Will the Government take back unused MediSave top-ups?
            ","
                    01 Aug 2018
                ","A voice recording of a woman alleging that a $200 MediSave amount given by the Government would be taken back if unused within a year, has been making its rounds. She claims that a lady at a polyclinic counter had given her this information, and that her family would always use this MediSave amount when they visited polyclinics, so that they did not need to pay cash.
An article in Lianhe Zaobao about this alleged case is appended:
The full audio clip is here:
MediSave top-ups will not be taken back by the Government
The claims made in the clip are not true.
Unused MediSave top-ups will not be taken back by the Government. These will remain in your CPF account, and continue to earn interest.
What can MediSave be used for?
You can use your MediSave monies to pay for things like:

When your Medisave reaches its account limit, any excess will flow over to your CPF Special or Retirement accounts, to help build your retirement savings.
What are the MediSave top-up schemes by the Government?
There are two regular MediSave top-up schemes, namely the GST Voucher scheme and the Pioneer Generation Package. Singaporeans born on or before 31 December 1959, who do not enjoy Pioneer Generation benefits, would have also received MediSave top-ups annually from 2014 to 2018 .
Always verify the facts with the relevant authorities
Should members of the public have questions about MediSave use, they may contact the Ministry of Health at 6325-9220. 
Details on MediSave top-ups are at www.gstvoucher.gov.sg and www.pioneers.sg
"
Environment,Can the prices in the 1962 Water Agreement be revised?,/factually/content/can-the-prices-in-the-1962-water-agreement-be-revised,"
                Can the prices in the 1962 Water Agreement be revised?
            ","
                    09 Jul 2018
                ","What is the 1962 Water Agreement?
 
Under the 1962 Water Agreement, Singapore has the full and exclusive right to draw up to 250 million imperial gallons per day (mgd) of water from the Johor River at a price of 3 sen per thousand gallons.
 
In return, Johor is entitled to buy treated water up to 2 per cent of the total quantity of water we import to Singapore on any given day. In other words, Johor is entitled to buy up to about 5 mgd of treated water, provided that Singapore is able to draw its full entitlement of 250 mgd of water from the Johor River. 
 
Under the 1962 Water Agreement, Johor is entitled to buy treated water at 50 sen per thousand gallons. Malaysia benefits from this pricing arrangement, as 50 sen per thousand gallons is only a fraction of the true cost to Singapore of treating the water. 
 
At Malaysia’s request, Singapore has been supplying Johor with treated water in excess of Johor’s entitlement under the 1962 Water Agreement. This excess treated water is supplied at the same price as under the 1962 Water Agreement. This is done out of goodwill and without prejudice to our rights under the 1962 Water Agreement. Singapore has in fact been regularly supplying Johor with 16 mgd, and up to 22 mgd at times, of treated water. 
 
Can the water prices in the Agreement be revised?
 
Both Singapore and Malaysia must comply fully with all the provisions of the 1962 Water Agreement, including the price of water stipulated in it. Any breach of the 1962 Water Agreement would call into question the Separation Agreement, which is the fundamental basis of Singapore’s very existence as an independent sovereign state. Neither Singapore nor Malaysia can unilaterally change the terms of this solemn agreement.
 
The 1962 Water Agreement provided for a price review after 25 years. Specifically, there was a right to review the price jointly in 1987. Malaysia, however, did not exercise this right in 1987. Since the right to review has lapsed, neither Singapore nor Malaysia can unilaterally change the price of water sold to Singapore. 
 
In the event Malaysia chose not to review the water price in 1987, and on that basis, Singapore then took several actions which also benefitted Malaysia. This included building the Linggiu Dam at the cost of over S$300 million, which has increased the yield of the Johor River. 
 
The terms of the 1962 Water Agreement were most recently reaffirmed between our two countries in January 2018 at the 8th Singapore-Malaysia Leaders’ Retreat. 
 
Do we have enough water to meet our needs?
 
Water is fundamental to our survival, and is a scarce and precious resource.
 
Recognising our water vulnerability, we have consciously and steadily developed two additional weather-resilient local sources (NEWater and desalinated water). Together with local catchments and imported water, they form our Four National Taps, and provide Singapore with robust and sustainable water supply.
 
The quantity of imported water is limited by the amount of water we can draw under the 1962 Water Agreement, i.e., up to 250 mgd. 
 
Growth in our local catchments is limited, as two-thirds of our island is already water catchment area. This means that any additional water supply will have to be provided by NEWater or desalinated water. While NEWater and desalinated water are weather-resilient, they are costlier to produce. Water has to be priced to reflect the long-run marginal cost (LRMC) of producing and conveying our next drop of water, which is likely to come from NEWater and desalinated water. 
 
Our water demand is increasing. By 2060, our water use is projected to about double from today’s 430 mgd. We must therefore plan ahead to find the needed water and invest in weather-resilient water sources. Today, we have three desalination plants. By 2020, we will have two more plants at Marina East and Jurong Island. This year, we started works on Phase Two of the Deep Tunnel Sewerage System (DTSS), which will enhance our used water management, and boost NEWater production when completed in 2025.  
 
We will continue to build up our desalination and NEWater capacities. By 2060, these two sources will be able to meet up to 85 per cent of our water needs then. 
 
Make every drop count
 
While PUB addresses the supply of water to cater for future demand, all of us have to better manage our usage patterns and learn to use water more wisely. 
 
Our household water consumption has decreased from 148 litres per person per day in 2016 to 143 litres in 2017. Our water conservation efforts are showing results, but we must do better. 
 
Do your part. Save water where you can. Make every drop count. 
 
Learn more about the Water Agreements here: 
 
https://www1.mfa.gov.sg/SINGAPORES-FOREIGN-POLICY/Key-Issues/Water-Agreements
 
https://www1.mfa.gov.sg/-/media/Images/MFA/Special-Events/Water/Water-Talks_-If-Only-It-Could.pdf 
 
Other useful links:
 
https://www.gov.sg/factually/content/why-increase-water-prices
 
https://www.gov.sg/microsites/everydropcounts 
 
Sources: MFA and MEWR
 
"
Education & Employment,MOM clarifies inaccuracies in TWC2’s articles on foreign workers’ employment issues,/factually/content/mom-clarifies-inaccuracies,"
                MOM clarifies inaccuracies in TWC2’s articles on foreign workers’ employment issues
            ","
                    06 Jul 2018
                ","
The Transient Workers Count Too is a non-profit organisation set up to “promote fair treatment for foreign workers.” Over the years, TWC2 has published various articles about foreign workers’ and their volunteers’ experiences.

However, TWC2 has published inaccurate or false information on many occasions. The Ministry of Manpower (MOM) has investigated the claims and published their investigations and facts surrounding the cases. A few examples are highlighted below.



 
TWC2 claim: 
Alaguraja was injured at work and was brought to his “company” clinic in Lavender. His employer influenced the clinic and compelled him to continue working after his injury. 
MOM clarifies: 
Alaguraja indicated in his statement to MOM that he went to the Lavender clinic on his own, without any employer’s representatives, and stopped working the day he was injured. 

 
TWC2 claim: 
Hossain’s work injury claim took over 15 months, and his employer failed to pay for his upkeep. Injured workers are not allowed to work or leave Singapore during the claims process.  
MOM clarifies: 
Hossain only reported his injury to MOM more than six months after it happened. MOM completed the investigations and issued a Notice of Assessment within eight months. However, Hossain later withdrew the claim to pursue his claim under common law.
Hossain did not face any problems with his employer, who was prepared to keep his work permit “live” and take him back, should Hossain recover fully. The employer had also paid for Hossain’s air ticket to and from Bangladesh when he requested to go home for medical treatment.

 
TWC2 claim: 
Sarkar came to work in Singapore as an S-Pass holder, and was made to remain in the country by MOM to assist in investigations. He was denied upkeep assistance and could not find a job because of MOM’s “poor” policies. 
MOM clarifies: 
Sarkar had multiple job offers, including air-con servicing, dormitory servicing and manufacturing, but of his own volition, rejected most of them. 
MOM had offered to assist him with food and accommodation but he had declined the offer twice. Sarkar denied telling TWC2 that he needed to pay for his own food and accommodation. He was aware that he could approach MOM should he require help but had not done so as his friend was supporting him. 
MOM wishes to highlight the following...
Reporting injuries directly: Workers can report their injuries to MOM directly if they suspect that their employers are trying to circumvent reporting, or influencing doctors to under-prescribe medical leave. 
 
Help for work injury, upkeep and accommodation issues: Foreign workers who need help for these issues are strongly encouraged to contact MOM’s helpline directly at 6438 5122 or www.mom.gov.sg/eservices, the Migrant Workers’ Centre at 6536 2692, or their respective embassies/high commissions.
"
Health,Did the Government introduce CareShield Life to make money off Singaporeans?,/factually/content/did-the-government-introduce-careshield-life-to-make-money-off-singaporeans,"
                Did the Government introduce CareShield Life to make money off Singaporeans?
            ","
                    30 Jun 2018
                ","A misleading text message is being circulated on messaging platforms claiming that CareShield Life was introduced by the Government to reap profits off Singaporeans. It also suggests that the risk of severe disability is very low, making it unlikely for policyholders to make a claim.
This is what the message looks like:
 
The claims are untrue.
Claim: Schemes like ElderShield and CareShield Life were introduced to profit off Singaporeans, and the premiums collected become Government surpluses. 
Fact: The Government will not profit from CareShield Life.
The premiums collected and returns from investments will stay within the fund so that policyholders can benefit through higher payouts or premium rebates.
Today, premiums collected under ElderShield are more than the claims paid out, as most policyholders are relatively young. However, these premiums collected do not become Government surpluses. Rather, they are meant for future claims – when policyholders become older and more of them make claims for severe disabilities (see Figure 1 for a comparison of premiums collected versus claims).
All CareShield Life premiums collected will remain within the fund meant for policyholders. It will not be transferred to other Government schemes.
Claim: The number of people who suffer from severe disability in old age is very few or close to none. Likewise, the number of claims.
Fact: As our population ages, one in two Singaporeans who is healthy at age 65 could become severely disabled in their lifetime. 
This is backed by evidence. From 2013 to 2017, the annual claims paid out have risen more (up by 12%) than the annual premiums collected (up by 3%). This trend is expected to continue as more Singaporeans enter their silver years.
The duration of severe disability and the accompanying costs of long-term care will vary. Coupled with shrinking family sizes, it will be challenging to rely solely on personal and family savings to pay for one’s long-term care needs. While the expected median duration for severely disabled individuals to remain in disability is around 4 years, three in 10 severely disabled individuals are expected to remain in disability for 10 years or more.
Schemes like ElderShield and the new CareShield Life will ensure that Singaporeans are protected against the variability in duration and the cost of long-term care needed. The Government will also provide subsidies to ensure that CareShield Life remains affordable for all Singaporeans.
Four ways how CareShield Life will provide better protection and assurance for Singaporeans’ long-term care:
More information on CareShield Life is available here.

"
Savings & Taxes,How much will I get in GST Vouchers in 2018?,/factually/content/how-much-will-i-get-in-gst-vouchers-in-2018,"
                How much will I get in GST Vouchers in 2018?
            ","
                    29 Jun 2018
                ","The GST Voucher (GSTV) is a permanent scheme introduced by the Government in 2012 to help lower-income Singaporeans with their GST expenses. The GSTV comprises three components – Cash, MediSave and U-Save.
In total, about 1.6 million eligible Singaporeans will receive a total of $1 billion worth of GST Vouchers and MediSave Top-Ups in 2018. Eligible HDB households will also receive an additional U-Save of $20 a year from 2019 to 2021, in addition to the regular U-Save amounts.
Do I qualify?
Confused by the different criteria for the GST Vouchers? Here’s a quick and simple guide for you.
GST Voucher – Cash
For a start, in order to qualify for GSTV – Cash this year, you must first be a Singapore citizen, staying in Singapore. You must also be aged 21 or above.
Next, your income earned in 2016 (as assessed by IRAS for the Year of Assessment 2017) must not exceed $28,000.
Also, the annual value of your home [1] must not be above $21,000 as of 31 December 2017. You must also not own more than one property.
If you satisfy all of the above requirements, you qualify. So how much do you get? The amount of Cash and Special Payment you get depends on the annual value of your home. See below: 
* Cheque payment takes two weeks longer. Citizens are encouraged to switch to direct bank crediting at www.gstvoucher.gov.sg.
GST Voucher – MediSave
Besides GSTV – Cash, if you are a Singapore citizen aged 65 and above and staying in Singapore, you may also receive GSTV – MediSave.
As with the Cash component, the annual value of your home must not exceed $21,000 as of 31 December 2017, and you must not own more than one property.
If you meet the above criteria, the amount of GSTV – MediSave top-up you receive will depend on your age in 2018 and the annual value of your home. See below:

In addition to the above, if you are aged 59 years and above in 2018 and do not receive Pioneer Generation benefits, you will receive a MediSave top-up of up to $200 in 2018. The amount of top-ups depends on the annual value of your home. 

Pioneers will also receive Pioneer Generation (PG) MediSave top-ups of $200 to $800, depending on their age. 

Taking the GSTV – MediSave, PG MediSave Top-Up and 5-year MediSave together, here’s how much you may receive:


* Includes GSTV – MediSave, PG MediSave Top-Up and 5-year MediSave Top-Up (MTS5)
GST Voucher – U-Save
Lastly, eligible households will also receive GSTV – U-Save, which is credited to their utilities account. To qualify, your family must first stay in a HDB flat, and there must be at least one Singapore citizen owner, occupier or tenant in your HDB flat.
In addition, immediate family members living in the same HDB flat must not own or have any interest in more than one property.
The amount of U-Save you get depends on your HDB flat type. Each eligible household will receive the U-Save distributed every 3 months, as shown in the table below.

* Eligible HDB households will receive an additional U-Save of $20 a year from 2019 to 2021

You will also receive a one-off Service & Conservancy Charges rebate in 2018. This amount will vary according to your HDB flat type:
Doing more for the environment – mobile SMS notifications
If you have previously signed up for the GSTV or any other government payout scheme, you will automatically receive your GSTV payouts. For those who have not signed up, you will have until 31 December 2018 to sign up through the GSTV website (www.gstvoucher.gov.sg), or through a hardcopy form (found at Community Centres).
This year, if you have updated your mobile number with SingPass, you would have received SMS notifications about your GST Voucher – Cash and MediSave eligibility on 28 or 29 June. This is faster, more convenient, and eco-friendly as well. The sender of the SMS would be ""GSTV"", and the SMS would request that you log into www.gstvoucher.gov.sg with your SingPass details to view the benefits. However, beware of phishing websites, which may ask you for personal information without SingPass authentication.

If you are aged 21 to 58 with mobile numbers updated with SingPass, you will only receive SMS notifications (without hardcopy letters). If you are 59 and above with mobile numbers updated with SingPass, you will receive both SMSes and notification letters. You can opt for SMS notifications in future by updating your mobile numbers with SingPass at www.singpass.gov.sg. 
For more info and updates, go to www.gstvoucher.gov.sg.
[1] The AV is the estimated annual rent a property can fetch if it were to be rented out. It is used to calculate the property tax of your home. The AV can be found on the property tax bill that the property owner receives each year. The AV threshold of $21,000 covers all HDB flats and some lower-value private properties, as the GST Voucher targets those who are less well-off.
"
Economy & Finance,"Will my bank e-mail me to request for personal details such as my IC, or PIN number?",/factually/content/will-my-bank-e-mail-me-to-request-for-personal-details-such-as-my-ic-or-pin-number,"
                Will my bank e-mail me to request for personal details such as my IC, or PIN number?
            ","
                    08 Jun 2018
                ","Received a message telling you that your credit card is under police investigation for fraud? Or that you’ve won a lucky draw, but you will have to submit your credit card details to verify your identity? Be careful, these are likely phishing attempts!
By ‘phishing’, perpetrators try to get personal information such as your bank account details, PIN, one-time password (OTP), and credit card number. They can then use this information to perform unauthorised banking transactions.
One common phishing method is to send you a spoofed (fake) e-mail that’s supposedly from your bank, using the following tactics to get you to release your information. 
 
Rise in phishing attempts
There has been an increase in the number of phishing emails sent recently. These e-mails appear to be sent by well-known banks, asking customers to update their personal particulars, including information on their bank accounts. The information targeted by scammers includes personal data such as bank account details, online banking user names, and passwords. Some e-mails claim that it is a Monetary Authority of Singapore (MAS) requirement for bank customers to provide such information. This is not true. 
If you receive such e-mails, alert your bank immediately. 
If you suspect that your bank account user ID, personal identification number or security token has been compromised, or if you identify any suspicious transactions on your bank account, contact your bank right away!  
Protect yourself
Take these steps to ensure that you don’t fall for any phishing attempts.
While banks will alert customers of any known phishing activity, do protect yourself online and do not fall prey to cyber criminals.  
"
Economy & Finance,"Are digital tokens such as cryptocurrencies a simple, safe, and sure-fire way of making money? ",/factually/content/digital-tokens,"
                Are digital tokens such as cryptocurrencies a simple, safe, and sure-fire way of making money? 
            ","
                    01 Jun 2018
                ","What are digital tokens? 
Digital tokens refer generally to a category of digitally-recorded instruments, which include digital payment tokens, or more commonly known as cryptocurrencies, and tokens issued through initial coin offerings. But some of these names are misleading. For example, cryptocurrencies are not actual currencies. You’ll never hold a digital token in your hand: digital tokens do not have a physical form unlike coins or notes. But that’s not the only trait of a real currency that digital tokens lack.
 
Because digital tokens aren’t issued by any government, they’re not legal tender. This means that consumers can only use digital tokens to pay merchants who are willing to accept them at whatever exchange value the merchants offer, as a mode of payment. Like most other jurisdictions, the Monetary Authority of Singapore currently does not regulate digital tokens.
 
Why do digital tokens seem so popular? 
With thousands of digital tokens worldwide, including Bitcoin, Ether, and Litecoin, it seems like a whole new world of possibilities. Last year’s surging markets also led some people to think that digital tokens could make them money quickly and with little effort. 
 
The hype is further boosted by digital token intermediaries who profit when people buy, sell, and exchange digital tokens through them. Because the value of any digital token is only as valuable as people deem it to be, speculators and digital token intermediaries have a vested interest in making the digital token bandwagon sound as attractive as possible.
 
 

Are digital tokens regulated?
No, digital tokens are not regulated because they are not issued by the Singapore government and are not legal tender. There is no legislative protection for those who lose money from investing in digital tokens. 
However, this doesn’t mean that the Government isn’t taking steps to ensure that digital tokens are not used as tools for fraud or other crimes.  Under the proposed Payment Services Bill, the Monetary Authority of Singapore will be imposing Anti-Money Laundering and Countering the Financing of Terrorism (AML/CFT) requirements on digital token intermediaries.
 
Is it true you can definitely make money from investing in digital tokens?
Money doesn’t grow on trees, and investments are never a sure-win. Digital token investments, in particular, are an extremely high-risk, speculative instrument. 
Digital tokens are not backed by any assets or issuer, which means that no one bears any legal responsibility for the money you put into digital tokens. Simply put, you are making an investment with a party that cannot be held accountable. It is as good as taking a gamble.
Very few merchants accept digital tokens as payment, making them far less functional than actual currencies. 
 
What are the risks of investing in digital tokens?
There are four serious aspects of digital tokens which make them highly risky: their speculative nature, their lack of transparency, their exposure to hackers and fraud, and their insufficient secondary market liquidity.
 
Speculative Nature
What’s the value of digital tokens actually based on?
Digital tokens are highly speculative instruments whose value is not underpinned by any asset, or backed by any issuer. They are generated by computer code, running on decentralized networks, powered by blockchain technology which remains challenging for most people to thoroughly understand. 



As DPM Tharman pointed out, digital tokens investments are “in fact an inherently unstable, high risk game...subject to sharp swings in prices driven by speculation.” Should worst comes to worst, a digital token’s price could plummet to zero, be rendered worthless, and leave investors with none of their capital.

Furthermore, there is little information to help investors gauge their value. Many don’t know enough to fully comprehend digital tokens, much less conduct their own research to verify what they are told.
Lack of transparency
Can I put my trust in digital token transactions?
Digital tokens are mainly traded on opaque markets, with zero regulatory protection for investors. Digital token transactions are generally anonymous, which make them easily misused for unlawful activities. If a digital token intermediary has been found using digital tokens illegally, their operations can be shut down by law enforcement agencies. When that happens, investors who have transacted with such an intermediary could lose all their money.
Can I make digital token transactions with peace of mind?
When dealing with digital token intermediaries, you could be exposed to a greater risk of fraud and massive losses. Most digital token intermediaries don’t have a presence in Singapore, making it even harder to verify their credibility or authenticity. If the platform collapses, it’ll be difficult to trace the platform’s operators. 
Even if digital token platforms don’t collapse, they might still be taken down by malicious actors. Digital token intermediaries may not be sufficiently robust against hackers. For example, after South Korean cryptocurrency exchange Youbit was hacked for a second time, it had to file for bankruptcy in December 2017.
 
Exposure to hackers and fraud, insufficient secondary market liquidity 
What else could jeopardize my digital token investment?
Your digital tokens are stored in a digital wallet. Similar to digital token intermediaries, the digital wallet could be hacked. You could lose all your digital tokens as a result.
On top of that, fraud has already occurred with companies that claim to offer digital token-related products and services. Initial coin offerings disguised as Ponzi schemes are not uncommon. Platforms like OneCoin and BitConnect have been shut down for their pyramid schemes, with BitConnect’s price crashing from $452 to $9. 
Other fraud cases see pump-and-dump maneuvers, where the price of a digital token is artificially inflated by insiders through false and misleading exaggerations. When the price reaches a feverish peak, these insiders then cash out en masse, all at once, leading to a price collapse.
Finally, there is also the risk that you may not be able to exit your digital token investment easily. There may not be enough active buyers and sellers in the secondary market for digital tokens. You might never get the chance to cash out and liquidate your investment.
 
What should I do before making any investment decisions?
Do your homework – make sure you fully understand the benefits and risks of the product or service. 
Make a thorough assessment on whether the features of the product or service are suitable to your needs.
Before finally committing to an investment, you should ask, check and confirm.
Ask as many questions as you need to fully understand the investment.
Check and double-check if the information provided to you (e.g. company’s track records, owners and directors’ experience and qualifications) is actually true, and whether there are any complaints or negative comments made about the investment opportunity (whether in the news or on online forums.
Confirm the legitimacy of the seller or its representative’s credentials with external resources such as:
MAS’ Financial Institutions Directory
MAS’ Register of Representatives
Investor Alert List
"
Transport & Motoring,Did the PTC change the fare formula to raise public transport fares?,/factually/content/did-the-ptc-change-the-fare-formula-to-raise-public-transport-fares,"
                Did the PTC change the fare formula to raise public transport fares?
            ","
                    18 May 2018
                ","There has been speculation that the Public Transport Council (PTC) made changes to the fare formula in a bid to raise public transport fares. 
Factually sets the record straight.
What is the PTC and what do they do?
The PTC conduct the annual fare review exercises as well as regular reviews of the fare formula to keep fares affordable and ensure that the public transport system remains financially sustainable. Its members represent a wide spectrum of society. 
Here’s how the previous formula looked:

This formula was valid from 2012 to 2017, and a new formula is needed for the next 5 years.
On 22 March 2018, PTC concluded its review, and introduced a revised formula valid from 2018 to 2022. This formula has a new Network Capacity Factor (NCF) to reflect the recurrent operating costs due to capacity adjustments, such as running more trains and buses over longer distances for less crowded and more convenient public transport rides.  
Here’s how the new formula looks:

Will the new formula result in higher fares?  
The fare adjustment quantum depends collectively on the different components in the fare formula, i.e. the existing macroeconomic indicators that reflect inflation (cCPI), wages (WI) and energy costs (EI), as well as the new NCF. 
Why do we need the NCF in the new fare formula?
The costs of running public transport are affected by a number of factors, including the price and quantity of the resources deployed. For example, expenditure on electricity in a particular year will depend on the quantity of electricity consumed during that year, and the prevailing electricity tariffs.  
While the previous fare formula adequately measured the changes in the price of resources consumed, it did not measure the changes in the quantity. When the capacity of the public transport network is quite stable from year to year, this limitation of the old fare formula is not material. However, as we aggressively expand the capacity of our public transport network, this can have a material impact on our public transport system’s sustainability. PTC designed the NCF to address this limitation in the previous fare formula.  
The Network Capacity Factor may be positive or negative.  It will be positive where demand grows slower than capacity.  Conversely, if capacity remains stagnant in a given year and demand grows faster than capacity, resulting in more crowded trains, the Network Capacity Factor will be negative.

So the NCF is meant to claw back the gap between costs and fares? 
No. While the NCF ensures a more equitable sharing of operating costs of capacity enhancements between commuters, taxpayers and operators, it does not:
But doesn’t the NCF pass on all the additional costs to commuters?
It doesn’t. The Government will continue to share the costs by subsidising public transport services heavily. Over the next five years, it will provide subsidies of about $5 billion for public bus services and $4 billion to renew our rail operating assets. This will help keep fares affordable even as more trains and buses are added to improve service standards. 
The Government will also continue to bear the full cost of constructing new rail lines, bus depots and interchanges and other public transport infrastructure. This amounts to around $20 billion over the next five years.
When will I know the fare adjustment?
As with previous years, the PTC will conduct the annual fare review exercise in the later part of the year, and will announce the actual fare adjustment in 4Q 2018 when the exercise is completed.
Source:
PTC News Release (22 March 2018)
"
