category_name_texts,article_title_texts,article_title_links
Law & Government,Does our Prime Minister get paid up to $4.5 million a year?,/factually/content/does-our-prime-minister-get-paid-up-to-r
Education & Employment,Are more foreigners taking away jobs of Singaporeans?,/factually/content/are-more-foreigners-taking-away-jobs-of-singaporeans
Health,Will the Government take back unused MediSave top-ups?,/factually/content/will-the-government-take-back-unused-medisave-top-ups
Environment,Can the prices in the 1962 Water Agreement be revised?,/factually/content/can-the-prices-in-the-1962-water-agreement-be-revised
Education & Employment,MOM clarifies inaccuracies in TWC2’s articles on foreign workers’ employment issues,/factually/content/mom-clarifies-inaccuracies
Health,Did the Government introduce CareShield Life to make money off Singaporeans?,/factually/content/did-the-government-introduce-careshield-life-to-make-money-off-singaporeans
Savings & Taxes,How much will I get in GST Vouchers in 2018?,/factually/content/how-much-will-i-get-in-gst-vouchers-in-2018
Economy & Finance,"Will my bank e-mail me to request for personal details such as my IC, or PIN number?",/factually/content/will-my-bank-e-mail-me-to-request-for-personal-details-such-as-my-ic-or-pin-number
Economy & Finance,"Are digital tokens such as cryptocurrencies a simple, safe, and sure-fire way of making money? ",/factually/content/digital-tokens
Transport & Motoring,Did the PTC change the fare formula to raise public transport fares?,/factually/content/did-the-ptc-change-the-fare-formula-to-raise-public-transport-fares
Economy & Finance,Is Singapore the most expensive city to live in?,/factually/content/is-singapore-the-most-expensive-city-to-live-in
Economy & Finance,Singapore’s national reserves: Is the Government excessively prudent?,/factually/content/singapores-national-reserves-is-the-government-excessively-prudent
Law & Government,Why did the Government increase the foreign domestic worker levy?,/factually/content/why-did-the-government-increase-the-foreign-domestic-worker-levy
Transport & Motoring,What is the Airport Development Levy and why should I pay for it?,/factually/content/what-is-the-airport-development-levy-and-why-should-i-pay-for-it
Transport & Motoring,Three reasons why we need to expand our airport infrastructure,/factually/content/three-reasons-why-we-need-to-expand-our-airport-infrastructure
Law & Government,5 Things to Know About The Criminal Law (Temporary Provisions) (Amendment) Bill 2018,/factually/content/5-things-to-know-about-the-criminal-law-temporary-provisions-amendment-bill-2018
Transport & Motoring,Did the Public Transport Council “quietly” axe the “Off Peak Pass for Seniors”?,/factually/content/did-the-public-transport-council-quietly-axe-the-off-peak-pass-for-seniors
Education & Employment,Is it true our public universities reserve 20% of their places for foreign students?,/factually/content/is-it-true-our-public-universities-reserve-20-per-cent-of-their-places-for-foreign-students
Education & Employment,Is it true that over 60% of foreign domestic workers here are exploited?,/factually/content/is-it-true-that-over-60-per-cent-of-foreign-domestic-workers-here-are-exploited
Savings & Taxes,Did the Government secretly increase the CPF Retirement Sums?,/factually/content/did-the-government-secretly-increase-the-cpf-retirement-sums
Law & Government,5 Things to Note About the Keppel Offshore and Marine Ltd Case,/factually/content/5-things-to-note-about-the-keppel-offshore-marine-ltd-case
Savings & Taxes,What are the taxes that the Government is considering?,/factually/content/what-are-the-taxes-that-the-government-is-considering
Savings & Taxes,Did the Government change its position on raising taxes during this term of Government?,/factually/content/did-the-government-change-its-position-on-raising-taxes-during-this-term-of-government
Transport & Motoring,Will the latest fare review exercise result in higher public transport fares?,/factually/content/will-the-latest-fare-review-exercise-result-in-higher-public-transport-fares
Health,Can you develop diabetes?,/factually/content/can-you-develop-diabetes
Law & Government,How Parliament works,/factually/content/how-parliament-works
Transport & Motoring,Why are we introducing fingerprint checks at our land checkpoints?,/factually/content/why-are-we-introducing-fingerprint-checks-at-our-land-checkpoints
Others,Why should Singapore move towards e-payments?,/factually/content/why-should-singapore-move-towards-e-payments
Health,Brown rice vs White Rice: What's the difference?,/factually/content/brown-rice-vs-white-rice-whats-the-difference
Law & Government,When is a by-election for a GRC called?,/factually/content/when-is-a-by-election-for-a-grc-called
Law & Government,Who can organise events at Hong Lim Park?,/factually/content/who-can-organise-and-take-part-in-events-at-hong-lim-park
Law & Government,Is campaigning allowed before Nomination Day?,/factually/content/is-campaigning-allowed-before-nomination-day
Housing,Do HDB flat buyers own their flat?,/factually/content/do-hdb-flat-buyers-own-their-flat
Education & Employment,What can domestic workers do if employers do not provide enough food?,/factually/content/what-can-domestic-workers-do-if-employers-do-not-provide-enough-food
Law & Government,3 things you should know about the upcoming Presidential Election,/factually/content/3-things-you-should-know-about-the-upcoming-presidential-election
Transport & Motoring,Why are there all-day tests for the new train signalling system?,/factually/content/why-are-there-all-day-tests-for-the-new-train-signalling-system
Education & Employment,What’s the difference between retirement age and re-employment age?,/factually/content/whats-the-difference-between-retirement-age-and-re-employment-age
Others,Three interesting facts about the Sino-Singapore Tianjin Eco-city,/factually/content/three-interesting-facts-about-the-sino-singapore-tianjin-eco-city
Law & Government,Quality vs Value: How does Government evaluate tenders?,/factually/content/quality-vs-value-how-does-government-evaluate-tenders
Education & Employment,Will I get CPF if I’m a temp or contract worker?,/factually/content/will-i-get-cpf-if-im-a-temp-or-contract-worker
Savings & Taxes,How much will I get in GST Vouchers in 2017?,/factually/content/how-much-will-i-get-in-gst-vouchers-this-year
Immigration & Citizenship,Do Singaporeans need a visa to enter the U.S.?,/factually/content/do-singaporeans-need-a-visa-to-enter-the-us
Defence & Security,Countering radicalism together,/factually/content/countering-radicalism-together
Savings & Taxes,What happens to your CPF savings when you pass away?,/factually/content/what-happens-to-your-cpf-savings-when-you-pass-away
Law & Government,The powers of the President,/factually/content/the-powers-of-the-president
Education & Employment,Geylang Serai bazaar raid: A case of non-halal food or unlicensed food handlers?,/factually/content/geylang-ramadan-bazaar-raid
Environment,Why increase water prices?,/factually/content/why-increase-water-prices
Health,Which formula milk is best for your child?,/factually/content/which-formula-milk-is-best-for-your-child
Education & Employment,Why close the Sungei Road Hawking Zone?,/factually/content/why-close-the-sungei-road-hawking-zone
Health,Are there fake eggs in Singapore?,/factually/content/are-there-fake-eggs-in-singapore
Others,What are the reasons behind the increase in ComCare numbers?,/factually/content/what-are-the-reasons-behind-the-increase-in-comcare-numbers
Education & Employment,Why is the Ministry of Education merging some schools? ,/factually/content/why-is-the-ministry-of-education-merging-some-schools
Savings & Taxes,Why is GST applied to the water conservation tax?,/factually/content/why-is-gst-applied-to-the-water-conservation-tax
Housing,Why did HDB restrict Sigma from tendering for new projects in 2015?,/factually/content/why-did-hdb-restrict-sigma-from-tendering-for-new-projects-in-2015
Transport & Motoring,What is the difference between Singapore's Vehicle Entry Permit and Malaysia's Road Charge?,/factually/content/what-is-the-difference-between-singapores-vehicle-entry-permit-and-malaysia-road-charge
Transport & Motoring,"How are we keeping our footpaths, cycling paths and roads safe?",/factually/content/how-are-we-keeping-our-footpaths-cycling-paths-and-roads-safe
Law & Government,Did Minister Shanmugam really say that?,/factually/content/did-minister-shanmugam-really-say-that
Transport & Motoring,6 things you need to know about the New Rail Financing Framework,/factually/content/6-things-you-need-to-know-about-the-new-rail-financing-framework
Environment,Is it true that NEA's PSI figures are deliberately under-reported?,/factually/content/is-it-true-that-neas-psi-figures-are-under-reported
Health,How did one case of Zika infection increase to 41 within a day?,/factually/content/how-did-one-case-of-zika-infection-increase-to-41-within-a-day
Health,5 things to know about Zika Virus,/factually/content/5-things-to-know-about-zika-virus
Others,Why is a centralised NAC bin centre needed?,/factually/content/why-is-a-centralised-nac-bin-centre-needed
Economy & Finance,Change in cost of town gas,/factually/content/change-in-cost-of-town-gas
Education & Employment,Employment Pass salary criteria to increase in 2017,/factually/content/employment-pass-salary-criteria-to-increase-in-2017
Transport & Motoring,Why are MRT trains being shipped back to manufacturer?,/factually/content/why-are-mrt-trains-being-shipped-back-to-its-manufacturer
Transport & Motoring,Why do HDB and URA need to increase carpark charges?,/factually/content/why-do-hdb-and-ura-need-to-increase-carpark-charges
Economy & Finance,Why are electricity tariffs rising?,/factually/content/why-are-electricity-tariffs-rising
Law & Government,Do Ministers get free healthcare?,/factually/content/do-ministers-get-free-healthcare
